Date,Close,Volume
2000-12-06,45.3125,7443800
2000-12-07,46.9375,6975800
2000-12-08,47.4375,5436900
2000-12-11,47.0625,4171700
2000-12-12,47.375,2542100
2000-12-13,48.4375,3962700
2000-12-14,49.75,6014700
2000-12-15,48.8125,9470800
2000-12-18,49.3125,5112200
2000-12-19,49.1875,4962600
2000-12-20,48.875,3797700
2000-12-21,48.75,3612100
2000-12-22,48.625,3374800
2000-12-26,48.875,2097600
2000-12-27,48.875,3164400
2000-12-28,48.75,3939700
2000-12-29,49.5625,2625100
2001-01-02,49.375,4267800
2001-01-03,46.5,7189400
2001-01-04,44.375,12373700
2001-01-05,45.3125,5041900
2001-01-08,46.0625,3755700
2001-01-09,46.75,3427400
2001-01-10,46.0,4079800
2001-01-11,46.0625,3499800
2001-01-12,45.6875,3084900
2001-01-16,45.9375,3153700
2001-01-17,45.375,4190400
2001-01-18,45.0,3635800
2001-01-19,43.8125,4159100
2001-01-22,43.8125,2606000
2001-01-23,43.1875,6121000
2001-01-24,42.75,5642400
2001-01-25,43.75,5997200
2001-01-26,44.0625,4612700
2001-01-29,43.650001525878906,3283100
2001-01-30,44.52000045776367,4041500
2001-01-31,44.06999969482422,5223500
2001-02-01,43.66999816894531,4880300
2001-02-02,44.9900016784668,5717500
2001-02-05,44.970001220703125,5261000
2001-02-06,45.2599983215332,4030300
2001-02-07,46.9900016784668,6422400
2001-02-08,46.849998474121094,4430000
2001-02-09,46.20000076293945,2423100
2001-02-12,46.95000076293945,3360200
2001-02-13,47.150001525878906,3565900
2001-02-14,46.70000076293945,3602800
2001-02-15,46.849998474121094,3755700
2001-02-16,47.31999969482422,5507700
2001-02-20,48.5,5478600
2001-02-21,47.25,7446200
2001-02-22,46.54999923706055,5337600
2001-02-23,46.380001068115234,4247700
2001-02-26,46.279998779296875,3083700
2001-02-27,46.060001373291016,3202800
2001-02-28,46.08000183105469,2251300
2001-03-01,45.810001373291016,3359900
2001-03-02,44.849998474121094,3230200
2001-03-05,45.619998931884766,2086800
2001-03-06,45.810001373291016,3879400
2001-03-07,46.02000045776367,2980900
2001-03-08,46.900001525878906,2644800
2001-03-09,46.400001525878906,2090400
2001-03-12,45.54999923706055,2494700
2001-03-13,44.849998474121094,3330600
2001-03-14,44.27000045776367,3768400
2001-03-15,44.029998779296875,5130300
2001-03-16,42.9900016784668,5719100
2001-03-19,42.68000030517578,2821700
2001-03-20,41.619998931884766,5419000
2001-03-21,42.0099983215332,7319300
2001-03-22,42.599998474121094,6320300
2001-03-23,43.849998474121094,7927700
2001-03-26,43.79999923706055,3998400
2001-03-27,44.040000915527344,3985100
2001-03-28,43.08000183105469,4077200
2001-03-29,43.25,3542400
2001-03-30,43.95000076293945,3229000
2001-04-02,44.04999923706055,3854700
2001-04-03,43.08000183105469,3017700
2001-04-04,43.900001525878906,2606600
2001-04-05,44.099998474121094,3383100
2001-04-06,42.0,5701900
2001-04-09,41.5,6127100
2001-04-10,42.150001525878906,5876700
2001-04-11,41.38999938964844,5070500
2001-04-12,41.90999984741211,3177500
2001-04-16,42.20000076293945,4739500
2001-04-17,42.27000045776367,3449600
2001-04-18,42.060001373291016,5387200
2001-04-19,42.470001220703125,4046400
2001-04-20,41.2599983215332,5677600
2001-04-23,42.27000045776367,6672800
2001-04-24,43.150001525878906,4675600
2001-04-25,44.06999969482422,4042300
2001-04-26,44.900001525878906,4213500
2001-04-27,44.099998474121094,5774000
2001-04-30,43.810001373291016,2996600
2001-05-01,44.650001525878906,3748200
2001-05-02,44.310001373291016,2954700
2001-05-03,44.2400016784668,3939400
2001-05-04,44.68000030517578,3610700
2001-05-07,44.939998626708984,2178500
2001-05-08,44.9900016784668,2607400
2001-05-09,45.540000915527344,5084200
2001-05-10,46.470001220703125,5587400
2001-05-11,46.16999816894531,3340600
2001-05-14,46.150001525878906,2248900
2001-05-15,45.0,3839200
2001-05-16,45.2599983215332,4613200
2001-05-17,44.93000030517578,5053300
2001-05-18,44.97999954223633,2621400
2001-05-21,44.93000030517578,2737600
2001-05-22,43.97999954223633,4209300
2001-05-23,44.75,2438500
2001-05-24,44.970001220703125,2317600
2001-05-25,44.810001373291016,2203200
2001-05-29,44.91999816894531,2098400
2001-05-30,45.59000015258789,3762400
2001-05-31,44.7599983215332,3717100
2001-06-01,44.810001373291016,2005700
2001-06-04,44.91999816894531,1341500
2001-06-05,45.599998474121094,2631800
2001-06-06,44.599998474121094,3323100
2001-06-07,44.310001373291016,3630600
2001-06-08,44.5,2409600
2001-06-11,44.02000045776367,2872800
2001-06-12,44.220001220703125,3302400
2001-06-13,44.31999969482422,2663900
2001-06-14,43.779998779296875,2923900
2001-06-15,43.2599983215332,5388900
2001-06-18,43.36000061035156,2316200
2001-06-19,43.709999084472656,4891400
2001-06-20,44.060001373291016,4009700
2001-06-21,45.16999816894531,7464200
2001-06-22,45.31999969482422,4834700
2001-06-25,44.880001068115234,2908500
2001-06-26,44.83000183105469,2781700
2001-06-27,45.369998931884766,3877300
2001-06-28,45.59000015258789,3723700
2001-06-29,44.20000076293945,7860000
2001-07-02,45.189998626708984,4426900
2001-07-03,45.619998931884766,2566600
2001-07-05,44.970001220703125,3939700
2001-07-06,44.88999938964844,3652500
2001-07-09,45.22999954223633,4053800
2001-07-10,45.22999954223633,3479500
2001-07-11,45.09000015258789,2939900
2001-07-12,45.54999923706055,3910500
2001-07-13,45.439998626708984,3214100
2001-07-16,45.9900016784668,4758500
2001-07-17,46.150001525878906,4458300
2001-07-18,46.9900016784668,5264700
2001-07-19,46.470001220703125,6926800
2001-07-20,46.2400016784668,5694200
2001-07-23,45.04999923706055,3956800
2001-07-24,44.619998931884766,3986900
2001-07-25,45.79999923706055,3564100
2001-07-26,45.72999954223633,4197200
2001-07-27,45.66999816894531,1897700
2001-07-30,46.099998474121094,3606000
2001-07-31,46.630001068115234,3910400
2001-08-01,43.689998626708984,29777400
2001-08-02,44.45000076293945,17742100
2001-08-03,44.439998626708984,6323400
2001-08-06,44.0,4924200
2001-08-07,44.4900016784668,5595800
2001-08-08,44.630001068115234,6265000
2001-08-09,45.33000183105469,7743500
2001-08-10,45.65999984741211,6953900
2001-08-13,45.04999923706055,6070000
2001-08-14,45.54999923706055,5576700
2001-08-15,45.560001373291016,7533300
2001-08-16,45.95000076293945,5367800
2001-08-17,45.68000030517578,3862500
2001-08-20,46.5099983215332,4627600
2001-08-21,46.04999923706055,3763300
2001-08-22,46.93000030517578,5070700
2001-08-23,47.25,5340300
2001-08-24,47.099998474121094,5080000
2001-08-27,46.880001068115234,3198200
2001-08-28,46.61000061035156,3350900
2001-08-29,46.9900016784668,3067400
2001-08-30,47.279998779296875,4790000
2001-08-31,47.0,3955100
2001-09-04,47.29999923706055,4335000
2001-09-05,47.79999923706055,3880000
2001-09-06,47.099998474121094,3508000
2001-09-07,47.400001525878906,5047700
2001-09-10,46.900001525878906,5179300
2001-09-17,47.900001525878906,10268100
2001-09-18,49.5,18511500
2001-09-19,49.59000015258789,17456900
2001-09-20,48.7599983215332,13587300
2001-09-21,47.0,17557400
2001-09-24,47.400001525878906,9317700
2001-09-25,48.0,9341900
2001-09-26,48.16999816894531,7286300
2001-09-27,48.88999938964844,6542100
2001-09-28,48.5,7159100
2001-10-01,48.939998626708984,4552200
2001-10-02,49.349998474121094,5338000
2001-10-03,49.08000183105469,4782000
2001-10-04,48.650001525878906,5098800
2001-10-05,48.849998474121094,4898500
2001-10-08,48.619998931884766,3080200
2001-10-09,48.93000030517578,4564100
2001-10-10,49.88999938964844,7378000
2001-10-11,49.0,6686900
2001-10-12,47.779998779296875,12422800
2001-10-15,47.900001525878906,4468500
2001-10-16,47.91999816894531,5834000
2001-10-17,48.15999984741211,4686000
2001-10-18,47.54999923706055,5575200
2001-10-19,47.31999969482422,5717900
2001-10-22,47.70000076293945,4463400
2001-10-23,47.900001525878906,3493700
2001-10-24,48.25,3772800
2001-10-25,48.400001525878906,2960900
2001-10-26,48.70000076293945,3236900
2001-10-29,48.150001525878906,2478600
2001-10-30,48.75,3410500
2001-10-31,48.709999084472656,3270100
2001-11-01,48.4900016784668,4334100
2001-11-02,49.0,3674300
2001-11-05,48.61000061035156,5007000
2001-11-06,48.7400016784668,4445100
2001-11-07,48.869998931884766,3120500
2001-11-08,49.029998779296875,4630200
2001-11-09,49.20000076293945,2845900
2001-11-12,49.02000045776367,2970800
2001-11-13,49.439998626708984,3841200
2001-11-14,50.279998779296875,4919300
2001-11-15,50.220001220703125,4602900
2001-11-16,49.7599983215332,3807300
2001-11-19,49.91999816894531,4027000
2001-11-20,49.68000030517578,3747100
2001-11-21,49.33000183105469,2626000
2001-11-23,49.400001525878906,1316200
2001-11-26,48.9900016784668,3732200
2001-11-27,48.439998626708984,4078800
2001-11-28,48.45000076293945,3318900
2001-11-29,48.529998779296875,4012400
2001-11-30,48.630001068115234,4774600
2001-12-03,48.779998779296875,2757500
2001-12-04,48.470001220703125,2799100
2001-12-05,48.29999923706055,5476200
2001-12-06,47.47999954223633,5854800
2001-12-07,47.599998474121094,4661700
2001-12-10,46.97999954223633,2752500
2001-12-11,46.599998474121094,4591100
2001-12-12,47.09000015258789,5033100
2001-12-13,47.22999954223633,5325600
2001-12-14,47.4900016784668,2386800
2001-12-17,47.400001525878906,3059700
